"Pop2EduF"	"LabFperM"	"ExpEdu"	"LifeExp"	"GNI"	"MatMort"	"AdolBirth"	"PercInParl"
"China"	58.7	0.816091954022989	13.1	75.8	12547	32	8.6	23.6
"Fiji"	64.2	0.520833333333333	15.7	70	7493	59	42.8	14
"Mongolia"	85.3	0.816738816738817	14.6	69.4	10729	68	18.7	14.9
"Thailand"	35.7	0.796778190830235	13.5	74.4	13323	26	41	6.1
"Libya"	55.5	0.392670157068063	14	71.6	14911	15	2.5	16
"Tunisia"	32.8	0.354019746121298	14.6	74.8	10404	46	4.6	31.3
"Colombia"	56.9	0.700125470514429	13.5	74	12040	83	68.5	20.9
"Jamaica"	74	0.791255289139633	12.4	75.7	7415	80	70.1	16.7
"Tonga"	87.5	0.7171581769437	14.7	72.8	5069	120	18.1	0
"Belize"	76.4	0.597812879708384	13.6	70	7614	45	71.4	13.3
"Dominican Republic"	55.6	0.652671755725191	13.1	73.5	11883	100	99.6	19.1
"Suriname"	44.6	0.588662790697674	12.7	71.1	15617	130	35.2	11.8
"Maldives"	27.3	0.725161290322581	13	76.8	12328	31	4.2	5.9
"Samoa"	64.3	0.402397260273973	12.9	73.4	5327	58	28.3	6.1
"Botswana"	73.6	0.881127450980392	12.5	64.5	16646	170	44.2	9.5
"Moldova (Republic of)"	93.6	0.850678733031674	11.9	71.6	5223	21	29.3	20.8
"Egypt"	43.9	0.316844919786096	13.5	71.1	10512	45	43	2.2
"Gabon"	53.9	0.859327217125382	12.5	64.4	16367	240	103	16.2
"Indonesia"	39.9	0.610451306413302	13	68.9	9788	190	48.3	17.1
"Paraguay"	36.8	0.65683962264151	11.9	72.9	7643	110	67	16.8
"Philippines"	65.9	0.641154328732748	11.3	68.2	7915	120	46.8	27.1
"El Salvador"	36.8	0.605063291139241	12.3	73	7349	69	76	27.4
"South Africa"	72.7	0.735537190082645	13.6	57.4	12122	140	50.9	40.7
"Viet Nam"	59.4	0.888077858880779	11.9	75.8	5092	49	29	24.3
"Bolivia (Plurinational State of)"	47.6	0.793572311495674	13.2	68.3	5760	200	71.9	51.8
"Kyrgyzstan"	94.5	0.70440251572327	12.5	70.6	3044	75	29.3	23.3
"Iraq"	27.8	0.213467048710602	10.1	69.4	14003	67	68.7	26.5
"Guyana"	60.3	0.529192546583851	10.3	66.4	6522	250	88.5	31.3
"Nicaragua"	39.4	0.590286425902864	11.5	74.9	4457	100	100.8	39.1
"Morocco"	20.7	0.349604221635884	11.6	74	6850	120	35.8	11
"Namibia"	33.3	0.858712715855573	11.3	64.8	9418	130	54.9	37.7
"Guatemala"	21.9	0.558956916099773	10.7	71.8	6929	140	97.2	13.3
"Tajikistan"	95.1	0.763942931258106	11.2	69.4	2517	44	42.8	15.2
"India"	27	0.337922403003755	11.7	68	5497	190	32.8	12.2
"Honduras"	28	0.516284680337756	11.1	73.1	3938	120	84	25.8
"Bhutan"	34	0.863989637305699	12.6	69.5	7176	120	40.9	8.3
"Syrian Arab Republic"	29.5	0.185694635488308	12.3	69.6	2728	49	41.6	12.4
"Congo"	39.7	0.938356164383562	11.1	62.3	6012	410	126.7	11.5
"Zambia"	25.8	0.853971962616822	13.5	60.1	3734	280	125.4	12.7
"Ghana"	45.2	0.942577030812325	11.5	61.4	3852	380	58.4	10.9
"Bangladesh"	34.1	0.682520808561237	10	71.6	3191	170	80.6	20
"Cambodia"	9.9	0.910982658959538	10.9	68.4	2949	170	44.3	19
"Kenya"	25.3	0.859116022099447	11	61.6	2762	400	93.6	20.8
"Nepal"	17.7	0.917336394948335	12.4	69.6	2311	190	73.7	29.5
"Pakistan"	19.3	0.296743063932449	7.8	66.2	4866	170	27.3	19.7
"Myanmar"	22.9	0.913730255164034	8.6	65.9	4608	200	12.1	4.7
"Swaziland"	21.9	0.613128491620112	11.3	49	5542	310	72	14.7
"Tanzania (United Republic of)"	5.6	0.976718403547672	9.2	65	2411	410	122.7	36
"Cameroon"	21.3	0.830729166666667	10.4	55.5	2803	590	115.8	27.1
"Zimbabwe"	48.7	0.927536231884058	10.9	57.5	1615	470	60.3	35.1
"Mauritania"	8.3	0.36283185840708	8.5	63.1	3560	320	73.3	22.2
"Papua New Guinea"	7.6	0.952702702702703	9.9	62.6	2463	220	62.1	2.7
"Yemen"	8.6	0.35180055401662	9.2	63.8	3519	270	47	0.7
"Lesotho"	21.9	0.802721088435374	11.1	49.8	3306	490	89.4	26.8
"Togo"	16.1	0.991389913899139	12.2	59.7	1228	450	91.5	17.6
"Haiti"	22.4	0.857746478873239	8.7	62.8	1669	380	42	3.5
"Rwanda"	8	1.01289566236811	10.3	64.2	1458	320	33.6	57.5
"Uganda"	22.9	0.957070707070707	9.8	58.5	1613	360	126.6	35
"Benin"	11.3	0.863346104725415	11.1	59.6	1767	340	90.2	8.4
"Sudan"	12.1	0.411842105263158	7	63.5	3809	360	84	23.8
"Senegal"	7.2	0.75	7.9	66.5	2188	320	94.4	42.7
"Afghanistan"	5.9	0.19874213836478	9.3	60.4	1885	400	86.8	27.6
"Côte d'Ivoire"	14	0.643734643734644	8.9	51.5	3171	720	130.3	9.2
"Malawi"	11.1	1.03803680981595	10.8	62.8	747	510	144.8	16.7
"Ethiopia"	7.8	0.875699888017917	8.5	64.1	1428	420	78.4	25.5
"Gambia"	17.4	0.870928829915561	8.8	60.2	1507	430	115.8	9.4
"Congo (Democratic Republic of the)"	12.8	0.965846994535519	9.8	58.7	680	730	135.3	8.2
"Liberia"	15.4	0.898148148148148	9.5	60.9	805	640	117.4	10.7
"Mali"	7.7	0.624078624078624	8.4	58	1583	550	175.6	9.5
"Mozambique"	1.4	1.03260869565217	9.3	55.1	1123	480	137.8	39.6
"Sierra Leone"	10	0.952173913043478	8.6	50.9	1780	1100	100.7	12.4
"Burkina Faso"	0.9	0.856666666666667	7.8	58.7	1591	400	115.4	13.3
"Burundi"	5.3	1.01585365853659	10.1	56.7	758	740	30.3	34.9
"Chad"	1.7	0.808080808080808	7.4	51.6	2085	980	152	14.9
"Central African Republic"	10.1	0.853113983548766	7.2	50.7	581	880	98.3	12.5
"Niger"	2.4	0.445930880713489	5.4	61.4	908	630	204.8	13.3
